WYBÓR 	WYBÓRC 	WYBÓRD 	Identyfikator 	Indeks 	Asortyment 	Cena brutto 	jm 	Cena jednostki 	Cena opakowania 	PUSTY0 	Ident. 	S_Indeks 	S_Identyfikator 	S_Asortyment 	S_Cena brutto 	PUSTY1 
78.00452000000143	1.0865800000005672	9	KREDKI BAMBIN.12KOL.	5903235000225	SZKOLNE	5,4	szt			=	10175	5903235000225	KREDKI BAMBIN.12KOL.	SZKOLNE	5,4	
78.00940000000298	1.0914600000005992	10	KOSZYK W KROPKI 04755 INFINITY DOTS	C_04755	GOSP.DOM.	21,99	szt			=	10010	C_04755	KOSZYK W KROPKI 04755 INFINITY DOTS	GOSP.DOM.	21,99	
79	1.0926000000006066	10.001139999999957	KOSZ SIAT.KW.D.CZARN.L3632	6926532036321	BIUROWE	25,5	szt			stara cena 26.99	24457	6926532036321	KOSZ SIAT.KW.D.CZARN.L3632	BIUROWE	26,99	
79.00072000000023	1.0933200000006114	11	KOSTKA  KL.KOL.SKRÊCONA	8993282110340	PAPIER	3,79	szt			=	10205	8993282110340	KOSTKA  KL.KOL.SKRÊCONA	PAPIER	3,79	
80	1.0940600000006162	11.000739999999972	KOREKTOR BIC MYSZKA R.MICRO	070330513945	SZKOLNE	8,7	szt			=	27511	70330513945	KOREKTOR BIC MYSZKA R.MICRO	SZKOLNE	8,7	
81	1.0940700000006163	11.000749999999972	KOREKTOR BIC MYSZKA N.MICRO	070330513952	SZKOLNE	8,7	szt			=	26698	70330513952	KOREKTOR BIC MYSZKA N.MICRO	SZKOLNE	8,7	
82	1.0940800000006163	11.000759999999971	KOREKTOR BIC MYSZKA MINI	070330512122	BIUROWE	7,99	szt			=	10389	70330512122	KOREKTOR BIC MYSZKA MINI	BIUROWE	7,99	
83	1.0940900000006164	11.00076999999997	KOREKTOR BIC MYSZKA 7500	070330510883	BIUROWE	10,9	szt			=	11257	70330510883	KOREKTOR BIC MYSZKA 7500	BIUROWE	10,9	
84	1.0944200000006186	11.001099999999958	KOPERTY MINI 25SZT KOLOR	5905677020311	PAPIER	8,5	op	cena 0.34z³/szt		stara cena 8.99	30458	5905677020311	KOPERTY MINI 25SZT KOLOR	PAPIER	8,99	
85	1.0980200000006421	11.004699999999822	KLEJ BROKAT 5K.15ML	5906453906195	SZKOLNE	3,2	szt.			obni¿ka -11%	10154	5906453906195	KLEJ BROKAT 5K.15ML	SZKOLNE	3,6	
86	1.0981700000006431	11.004849999999816	KLAWIATURA NATEC ROACH USB BLACK	5908257124904	KOMPUTER	23,99	szt			stara cena 25.99	17206	5908257124904	KLAWIATURA NATEC ROACH USB BLACK	KOMPUTER	25,99	
87	1.0986800000006465	11.005359999999797	KASETA DVC60 VERBATIM MINIDV	023942476504	KOMPUTER	9,5	szt			=	12283	23942476504	KASETA DVC60 VERBATIM MINIDV	KOMPUTER	9,5	
87.00042000000013	1.0991000000006492	12	KARTON WIZYT.10-20SZT A4	2103	PAPIER	10,5	op			=	10153	2103	KARTON WIZYT.10-20SZT A4	PAPIER	10,5	
88	1.100270000000657	12.001169999999956	KALKULATOR VECTOR LP-203TS	5904329489568	BIUROWE	185,0	szt			=	24228	5904329489568	KALKULATOR VECTOR LP-203TS-----	BIUROWE	185,0	
89	1.100280000000657	12.001179999999955	KALKULATOR VECTOR LP-105	5904329504865	BIUROWE	159,0	szt			=	26429	5904329504865	KALKULATOR VECTOR LP-105-----	BIUROWE	159,0	
90	1.10075000000066	12.001649999999938	KALKULATOR CASIO HR-8TER-W	4971850174875	BIUROWE	139,0	szt			obni¿ka -35%	24442	4971850099680	KALKULATOR CASIO HR-150RCE+ZASILACZ	BIUROWE	215,0	
91	1.10076000000066	12.001659999999937	KALKULATOR CASIO HL-820LV BK	4971850169284	BIUROWE	12,99	szt			stara cena 13.99	16577	4971850169284	KALKULATOR CASIO HL-820LV BK	BIUROWE	13,99	
91.00682000000216	2	12.008479999999679	GRA ALEX.BIZNES PO.POLSKU	5906018001235	GRY I PUZZLE	31,0	szt			=	10024	5906018001235	GRA ALEX.BIZNES PO.POLSKU	GRY I PUZZLE	31,0	
92	2.0081800000000536	12.01665999999937	D£.PENTEL K497-C ¯EL	072512238707	BIUROWE	4,19	szt			=	18036	72512238707	D£.PENTEL K497-C ¯EL	BIUROWE	4,19	
